Name,Score,Aired,Status,Studios,Source,Rank,Popularity,Favorites,Scored By,Members,Main Genre,Sub Genre,Year Released
Akuma to Himegimi,0.0,"Mar 20, 1981",Finished Airing,Toei Animation,Unknown,14514.0,14696,1,0.0,530,Comedy,No Sub-Genre,
Blade & Soul Specials,5.77,"Jun 25, 2014 to Dec 26, 2014",Finished Airing,Gonzo,Game,9810.0,6560,0,2835.0,8159,Comedy,No Sub-Genre,2014.0
Hi☆sCoool! SeHa Girls,6.48,"Oct 8, 2014 to Dec 24, 2014",Finished Airing,TMS Entertainment,Other,6473.0,5675,47,5164.0,11665,Comedy,No Sub-Genre,2014.0
Doctor Mambo & Kaitou Jibako: Uchuu yori Ai wo Komete!!,0.0,"Sep 12, 1983",Finished Airing,Toei Animation,Unknown,15602.0,17555,0,0.0,276,Adventure,Fantasy,
Gokuu no Daibouken Pilot,0.0,"Jun 12, 1966",Finished Airing,YOW MISSING MAS BRO,Unknown,16117.0,15207,0,0.0,469,Comedy,Fantasy,
Onimaru: Senjou ni Kakeru Itsutsu no Seishun,0.0,"Apr 25, 1990",Finished Airing,YOW MISSING MAS BRO,Original,18693.0,15163,0,0.0,472,Action,Adventure,
Ys IV: The Dawn of Ys,5.64,1993,Finished Airing,YOW MISSING MAS BRO,Game,10332.0,13079,2,342.0,872,Action,Adventure,
Komatsu Sakyo Anime Gekijou,0.0,"Oct 19, 1989 to Mar 29, 1990",Finished Airing,Gainax,Original,17395.0,15291,0,0.0,458,Comedy,Sci-Fi,1989.0
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,6.12,"Oct 26, 2013",Finished Airing,Shaft,Other,8274.0,5127,30,4938.0,14985,Comedy,No Sub-Genre,
Moonrakers,5.5,"Apr 15, 2014",Finished Airing,Pierrot,Manga,10769.0,10954,2,979.0,1817,Drama,Sci-Fi,
Meisou! Underworld,5.65,"Apr 15, 2014",Finished Airing,Pierrot,Manga,10256.0,10159,0,1211.0,2351,Action,Supernatural,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,"Apr 3, 2015 to Jun 26, 2015",Finished Airing,feel.,Light novel,332.0,140,15731,658913.0,1016386,Comedy,Romance,2015.0
Pokemon XY: Sora no Hahen,6.73,"Jul 12, 2014",Finished Airing,OLM,Unknown,5162.0,6663,2,2619.0,7930,Adventure,Fantasy,
Dennou Sentai Voogie's★Angel Gaiden: Susume! Super★Angels!,0.0,"Aug 21, 1998 to Sep 19, 1998",Finished Airing,J.C.Staff,Unknown,15549.0,14820,0,0.0,516,Action,Comedy,1998.0
Go! Go! Kadendanshi 2nd Season,0.0,"Apr 29, 2014 to Mar 13, 2015",Finished Airing,DLE,Unknown,16097.0,16404,0,0.0,360,Action,No Sub-Genre,2014.0
Ai no Kiseki: Doctor Norman Monogatari,0.0,"Dec 24, 1982",Finished Airing,YOW MISSING MAS BRO,Unknown,14475.0,15396,1,0.0,446,Drama,Slice of Life,
Ganbare Swimmy,0.0,"Aug 10, 1986",Finished Airing,YOW MISSING MAS BRO,Unknown,16008.0,17594,0,0.0,275,Adventure,No Sub-Genre,
Ojisan Kaizou Kouza,0.0,"Feb 24, 1990",Finished Airing,YOW MISSING MAS BRO,Unknown,18651.0,16422,1,0.0,359,Comedy,No Sub-Genre,
Saru Kani Gassen: Ijimekkozaru to Shoujiki Kani-san,0.0,"Mar 1, 1997",Finished Airing,YOW MISSING MAS BRO,Unknown,19411.0,17968,0,0.0,251,Comedy,No Sub-Genre,
Ji no Nai Hagaki,0.0,2003,Finished Airing,YOW MISSING MAS BRO,Unknown,16807.0,18912,0,0.0,196,Slice of Life,No Sub-Genre,
Puchimas!!: Petit Petit iDOLM@STER - Fuyu→Kotatsu←Haru,6.51,"Mar 27, 2014",Finished Airing,Gathering,4-koma manga,6335.0,9835,2,769.0,2619,Comedy,Slice of Life,
Gondora,4.07,"Dec 5, 1997",Finished Airing,Studio 4°C,Original,12603.0,9790,0,1359.0,2661,Avant Garde,No Sub-Genre,
Momon's Sand Witch,0.0,"Apr 1, 2014 to Sep 2, 2014",Finished Airing,YOW MISSING MAS BRO,Unknown,18242.0,15645,0,0.0,426,Comedy,No Sub-Genre,2014.0
Momon's Sand Witch Episode 0,0.0,"Mar 2, 2014",Finished Airing,YOW MISSING MAS BRO,Unknown,18244.0,16646,1,0.0,343,Comedy,No Sub-Genre,
Pyuu to Fuku! Jaguar: Return of Yaku Ichinenburi,0.0,"Dec 8, 2008 to Feb 23, 2009",Finished Airing,YOW MISSING MAS BRO,Manga,19005.0,15833,1,0.0,406,Comedy,No Sub-Genre,2008.0
REACH x Thermae Romae: Pietrada no Kekkon,5.49,"Apr 13, 2014",Finished Airing,DLE,Unknown,10817.0,12957,0,335.0,905,Comedy,No Sub-Genre,
Lovely Movie: Itoshi no Muco,6.33,"Jul 29, 2013 to Dec 23, 2013",Finished Airing,Doga Kobo,Manga,7220.0,11553,0,312.0,1449,Slice of Life,No Sub-Genre,2013.0
Lovely Movie: Itoshi no Muco Specials,0.0,"Mar 19, 2014",Finished Airing,Doga Kobo,Unknown,17766.0,15478,0,0.0,440,Slice of Life,No Sub-Genre,
Lovely Movie: Itoshi no Muco Season 2,6.15,"Apr 27, 2014 to Oct 5, 2014",Finished Airing,Doga Kobo,Manga,8114.0,12910,0,186.0,915,Slice of Life,No Sub-Genre,2014.0
Tuzki: Love Assassin,5.53,"Feb 12, 2014",Finished Airing,Studio 4°C,Other,10682.0,12284,1,568.0,1120,Comedy,Romance,
Hoshi no Yuuenchi,4.78,"Oct 14, 1989",Finished Airing,YOW MISSING MAS BRO,Unknown,12235.0,15096,0,196.0,483,Adventure,Sci-Fi,
"Subarashii Sekai Ryokou: Alaska no Tabi ""Daigo Hyougaki""",0.0,"Jan 29, 1967 to Feb 5, 1967",Finished Airing,YOW MISSING MAS BRO,Unknown,20067.0,16896,1,0.0,325,Adventure,Sci-Fi,1967.0
The Adventures of Hello Kitty & Friends,5.85,"Feb 18, 2008 to 2009",Finished Airing,YOW MISSING MAS BRO,Unknown,9513.0,12924,6,300.0,911,Fantasy,No Sub-Genre,2008.0
Uchuu Senkan Yamato 2199: Tsuioku no Koukai,6.66,"Oct 11, 2014",Finished Airing,"Xebec, AIC",Original,5557.0,9938,2,655.0,2530,Action,Drama,
Kyutai Panic Adventure!,4.67,"Jul 19, 2003",Finished Airing,YOW MISSING MAS BRO,Unknown,12339.0,9946,0,1042.0,2525,Action,No Sub-Genre,
Kyutai Panic Adventure Returns!,4.95,"Jul 17, 2004",Finished Airing,YOW MISSING MAS BRO,Unknown,12026.0,10062,0,967.0,2432,Action,No Sub-Genre,
Majimoji Rurumo,6.83,"Jul 9, 2014 to Sep 24, 2014",Finished Airing,J.C.Staff,Manga,4725.0,2362,84,31021.0,72372,Comedy,Fantasy,2014.0
Fox Wood Monogatari,0.0,"Jan 21, 1991 to Feb 21, 1992",Finished Airing,YOW MISSING MAS BRO,Unknown,15916.0,17383,0,0.0,287,Adventure,No Sub-Genre,1991.0
Fuku-chan no Kishuu,0.0,"Mar 15, 1942",Finished Airing,Shochiku Animation Institute,Other,15936.0,14966,0,0.0,494,Comedy,No Sub-Genre,
Fuku-chan no Zousan Butai,0.0,"Jul 1, 1943",Finished Airing,Shochiku Animation Institute,Other,15936.0,15768,0,0.0,412,Comedy,No Sub-Genre,
Fuku-chan,0.0,"Feb 11, 1982 to Mar 27, 1984",Finished Airing,Shin-Ei Animation,Other,15934.0,16133,1,0.0,381,Slice of Life,No Sub-Genre,1982.0
Fukuyama Gekijou: Natsu no Himitsu,5.87,"Sep 27, 1990",Finished Airing,"Mook Animation, Urban Product",4-koma manga,9404.0,14462,0,212.0,567,Fantasy,No Sub-Genre,
Something Great Chizu ni Nai Machi,0.0,"Feb 4, 2006",Finished Airing,YOW MISSING MAS BRO,Unknown,19943.0,16122,0,0.0,382,Slice of Life,No Sub-Genre,
Fuichin-san,5.9,"Mar 20, 2004",Finished Airing,YOW MISSING MAS BRO,Unknown,9282.0,15092,0,172.0,482,Drama,No Sub-Genre,
Futari Ecchi (2014),6.11,"Oct 10, 2014",Finished Airing,Production Reed,Manga,8309.0,6141,18,3667.0,9628,Comedy,Romance,
Sarusuberi: Miss Hokusai,7.17,"May 9, 2015",Finished Airing,Production I.G,Manga,3206.0,3597,53,13752.0,33335,Award Winning,Drama,
Cardfight!! Vanguard Movie: Neon Messiah,6.76,"Sep 13, 2014",Finished Airing,LIDENFILMS,Unknown,5047.0,7312,16,2772.0,6246,Action,Adventure,
Lance N' Masques,5.49,"Oct 2, 2015 to Dec 18, 2015",Finished Airing,Studio Gokumi,Light novel,10807.0,2934,19,20835.0,49209,Fantasy,No Sub-Genre,2015.0
Manabu no Natsuyasumi,0.0,2005,Finished Airing,YOW MISSING MAS BRO,Unknown,17877.0,17863,0,0.0,258,Fantasy,No Sub-Genre,
Shijou Saikyou no Deshi Kenichi Specials,7.25,"Nov 15, 2013 to May 16, 2014",Finished Airing,Brain's Base,Manga,2794.0,5554,19,4694.0,12233,Action,Comedy,2013.0
Denki-gai no Honya-san,7.19,"Oct 2, 2014 to Dec 18, 2014",Finished Airing,Shin-Ei Animation,Manga,3083.0,1628,276,51739.0,127402,Comedy,No Sub-Genre,2014.0
Jarujio Animal,0.0,"Apr 26, 2010 to Jun 28, 2010",Finished Airing,YOW MISSING MAS BRO,Unknown,16787.0,17673,0,0.0,270,Adventure,Comedy,2010.0
Monster ni Natta Domerica,0.0,Mar 2011,Finished Airing,YOW MISSING MAS BRO,Unknown,18259.0,15650,0,0.0,427,Action,Fantasy,2011.0
Kaseki Dorobou to Kyouryuuseki,5.67,Mar 2011,Finished Airing,YOW MISSING MAS BRO,Unknown,10178.0,16196,1,134.0,376,Adventure,No Sub-Genre,2011.0
Interior,5.28,Mar 2011,Finished Airing,Echoes,Unknown,11400.0,16178,0,147.0,379,Adventure,Comedy,2011.0
Gunners,5.15,2011,Finished Airing,YOW MISSING MAS BRO,Unknown,11683.0,16855,0,123.0,328,Action,No Sub-Genre,
gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,6.13,"Sep 27, 2014",Finished Airing,YOW MISSING MAS BRO,Original,8237.0,12707,3,343.0,977,Comedy,Fantasy,
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,0.0,"Sep 27, 2014",Finished Airing,YOW MISSING MAS BRO,Unknown,17425.0,14747,0,0.0,524,Comedy,No Sub-Genre,
Persona 4 the Golden Animation,6.62,"Jul 11, 2014 to Sep 26, 2014",Finished Airing,A-1 Pictures,Game,5751.0,2090,150,39544.0,89092,Adventure,Mystery,2014.0
Shura ga Yuku,0.0,"Dec 9, 1994 to May 21, 1995",Finished Airing,YOW MISSING MAS BRO,Manga,19881.0,16032,0,0.0,389,Drama,No Sub-Genre,1994.0
Be-Bop Kaizokuban,5.48,"Mar 22, 1991 to Jun 25, 1993",Finished Airing,Toei Animation,Manga,10833.0,12395,0,259.0,1076,Comedy,No Sub-Genre,1991.0
High School Jingi,5.78,"Feb 10, 1992",Finished Airing,J.C.Staff,Manga,9757.0,13467,2,254.0,782,Action,Comedy,
Gorillaman,5.96,"Jun 25, 1992 to Dec 24, 1993",Finished Airing,J.C.Staff,Manga,9016.0,12595,3,306.0,1015,Comedy,No Sub-Genre,1992.0
Tooryanse,5.82,"Jan 14, 2014",Finished Airing,YOW MISSING MAS BRO,Unknown,YOW MISSING MAS BRO,13548,0,442.0,762,Supernatural,No Sub-Genre,
Patta Potta Monta,0.0,"Aug 1, 2006 to Jan 30, 2007",Finished Airing,YOW MISSING MAS BRO,Unknown,18832.0,17415,2,0.0,285,Comedy,Slice of Life,2006.0
Kaette Kita Top wo Nerae! Kagaku Kouza,5.56,"Feb 24, 2012",Finished Airing,Gainax,Original,10595.0,10272,2,826.0,2274,Comedy,Sci-Fi,
Hashi no Mukou,5.76,"Sep 21, 2012",Finished Airing,Iyasakadou Film,Unknown,9833.0,10860,1,836.0,1889,Horror,Supernatural,
Taimadou Gakuen 35 Shiken Shoutai,6.82,"Oct 8, 2015 to Dec 24, 2015",Finished Airing,SILVER LINK.,Light novel,4755.0,733,471,144437.0,303513,Action,Fantasy,2015.0
Nobunaga Concerto,7.54,"Jul 12, 2014 to Sep 20, 2014",Finished Airing,Fuji TV,Manga,1578.0,2701,294,22700.0,57564,Comedy,Romance,2014.0
Tokyo Babylon: Vision,5.55,"Dec 21, 1992",Finished Airing,Madhouse,Manga,YOW MISSING MAS BRO,11262,0,687.0,1612,Supernatural,No Sub-Genre,
Ao Haru Ride OVA,7.58,"Aug 25, 2014 to Dec 12, 2014",Finished Airing,Production I.G,Manga,1427.0,1481,246,77655.0,142846,Romance,No Sub-Genre,2014.0
Kougyou Aika Volley Boys,0.0,"Mar 14, 1997 to Apr 25, 1997",Finished Airing,J.C.Staff,Unknown,17448.0,15227,0,0.0,466,Comedy,No Sub-Genre,1997.0
Detective Conan: The Fugitive Kogorou Mouri,6.92,"Apr 30, 2014",Finished Airing,TMS Entertainment,Manga,4309.0,6984,1,3001.0,6988,Comedy,Mystery,
Mushibugyou OVA,7.01,"Jul 18, 2014 to Jan 16, 2015",Finished Airing,Seven Arcs Pictures,Manga,3955.0,6571,3,3191.0,8137,Action,Fantasy,2014.0
Nozo x Kimi,6.37,"Aug 18, 2014 to Feb 18, 2015",Finished Airing,Zexcs,Manga,7016.0,3452,48,15188.0,36735,Comedy,Romance,2014.0
Orenchi no Furo Jijou,6.96,"Oct 6, 2014 to Dec 29, 2014",Finished Airing,Asahi Production,4-koma manga,4149.0,1814,390,56828.0,110416,Comedy,Fantasy,2014.0
Nisekoi OVA,7.36,"Oct 3, 2014 to Apr 3, 2015",Finished Airing,Shaft,Manga,2224.0,1350,136,90088.0,162085,Comedy,Romance,2014.0
Hitsugi no Chaika: Avenging Battle,7.17,"Oct 9, 2014 to Dec 11, 2014",Finished Airing,Bones,Light novel,3190.0,1115,196,107428.0,200466,Action,Adventure,2014.0
Surprise 4 U.,5.44,"Jun 19, 2012 to Jul 5, 2012",Finished Airing,Production I.G,Unknown,10969.0,15795,0,123.0,409,Sports,No Sub-Genre,2012.0
Heisei no Cinderella: Kiko-sama Monogatari,0.0,"Jun 29, 1990",Finished Airing,YOW MISSING MAS BRO,Unknown,16384.0,16363,0,0.0,363,Romance,No Sub-Genre,
Mechano: Scientific Attack Force,4.66,"Sep 1, 1995",Finished Airing,YOW MISSING MAS BRO,Unknown,12354.0,14505,1,179.0,561,Avant Garde,Comedy,
Hitsugi no Chaika: Nerawareta Hitsugi/Yomigaeru Iseki,6.99,"Mar 10, 2015",Finished Airing,Bones,Light novel,4037.0,3247,13,19802.0,40836,Action,Adventure,
Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon,0.0,"Jul 31, 1999",Finished Airing,Pierrot,Other,15234.0,15914,0,0.0,398,Action,Adventure,
Medamayaki no Kimi Itsu Tsubusu?,5.88,"Aug 5, 2014 to Aug 8, 2014",Finished Airing,Fanworks,Manga,9371.0,12223,1,240.0,1141,Comedy,Gourmet,2014.0
Yowamushi Pedal: Grande Road,8.07,"Oct 7, 2014 to Mar 31, 2015",Finished Airing,TMS Entertainment,Manga,503.0,1544,494,76425.0,135138,Sports,No Sub-Genre,2014.0
Hoka Hoka Oden no Uta,5.44,"Dec 10, 2012",Finished Airing,YOW MISSING MAS BRO,Original,YOW MISSING MAS BRO,12653,0,569.0,997,Gourmet,No Sub-Genre,
Inazuma Eleven: Chou Jigen Dream Match,6.95,"Jun 13, 2014",Finished Airing,OLM,Game,4187.0,5886,5,5540.0,10654,Sports,No Sub-Genre,
Gaia Getter A-kun,0.0,"Jun 1, 2002",Finished Airing,YOW MISSING MAS BRO,Unknown,15984.0,17071,0,0.0,313,Comedy,Sci-Fi,
Kitsune to Circus,5.07,1948,Finished Airing,YOW MISSING MAS BRO,Original,11840.0,15345,1,211.0,453,Comedy,No Sub-Genre,
Tonari no Seki-kun Specials,7.44,"May 28, 2014",Finished Airing,Shin-Ei Animation,Manga,1930.0,3691,11,17925.0,31833,Comedy,No Sub-Genre,
Kidou Senshi Gundam Unicorn: Episode EX - Hyakunen no Kodoku,6.63,"May 17, 2014",Finished Airing,Sunrise,Unknown,5689.0,8283,2,1576.0,4587,Drama,No Sub-Genre,
Bakabon Osomatsu no Karee wo Tazunete Sansenri,5.97,"Oct 19, 1991",Finished Airing,Pierrot,Original,8955.0,13993,0,150.0,653,Comedy,No Sub-Genre,
Nyanpuku Nyaruma,0.0,"Jul 25, 2014 to 2014",Finished Airing,Kachidoki Studio,Original,18609.0,15054,0,0.0,486,Comedy,No Sub-Genre,2014.0
World Trigger,7.58,"Oct 5, 2014 to Apr 3, 2016",Finished Airing,Toei Animation,Manga,1420.0,531,2693,139105.0,401101,Action,Sci-Fi,2014.0
Kuroko no Basket 3rd Season,8.3,"Jan 11, 2015 to Jun 30, 2015",Finished Airing,Production I.G,Manga,245.0,244,5023,450910.0,728725,Sports,No Sub-Genre,2015.0
Maido! Urayasu Tekkin Kazoku,6.01,"Jul 6, 2014 to Dec 28, 2014",Finished Airing,Studio Deen,Manga,8769.0,12486,3,274.0,1045,Comedy,No Sub-Genre,2014.0
World Fool News,5.41,"Apr 1, 2013 to May 6, 2013",Finished Airing,YOW MISSING MAS BRO,Other,11054.0,13252,0,332.0,829,Comedy,Slice of Life,2013.0
Kekkai Sensen,7.6,"Apr 5, 2015 to Oct 4, 2015",Finished Airing,Bones,Manga,1376.0,188,7590,374426.0,840932,Action,Comedy,2015.0
Shiden Pilot,0.0,"Mar 25, 2004",Finished Airing,YOW MISSING MAS BRO,Unknown,19661.0,16573,0,0.0,347,Action,No Sub-Genre,
Peeping Life: Shinkon-chan Kansai ni Irasshai,5.05,"Mar 27, 2014",Finished Airing,YOW MISSING MAS BRO,Unknown,11871.0,13907,0,220.0,674,Comedy,Slice of Life,
Wagahai wa Inu de Aru: Don Matsugorou no Seikatsu,0.0,"Feb 9, 1983",Finished Airing,Toei Animation,Unknown,13281.0,15632,1,0.0,427,Comedy,No Sub-Genre,
Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,6.7,"Dec 2, 2014",Finished Airing,Hoods Entertainment,Light novel,5359.0,4200,11,12006.0,24317,Comedy,Romance,
Madan no Ou to Vanadis,7.12,"Oct 4, 2014 to Dec 27, 2014",Finished Airing,Satelight,Light novel,3431.0,639,992,173920.0,344419,Adventure,Fantasy,2014.0
Houkago no Ouji-sama,6.83,"Oct 29, 2014 to Jun 26, 2015",Finished Airing,YOW MISSING MAS BRO,Manga,4713.0,9450,9,807.0,3037,Comedy,No Sub-Genre,2014.0
Tales of Zestiria: Doushi no Yoake,7.36,"Dec 30, 2014",Finished Airing,ufotable,Game,2234.0,3160,57,20223.0,42819,Fantasy,No Sub-Genre,
Heli-Tako Puu-chan,0.0,"Feb 14, 1998 to Feb 6, 1999",Finished Airing,Toei Animation,Unknown,16387.0,17596,0,0.0,274,Comedy,No Sub-Genre,1998.0
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,7.29,"Sep 30, 2014 to Oct 1, 2014",Finished Airing,Sunrise,Original,2550.0,4108,27,15351.0,25543,Action,Sci-Fi,2014.0
Hoozuki no Reitetsu OVA,7.85,"Feb 23, 2015 to Mar 23, 2017",Finished Airing,"Studio Deen, Wit Studio",Manga,820.0,4910,15,7328.0,16933,Comedy,Fantasy,2015.0
Mangaka-san to Assistant-san to The Animation Specials,7.17,"Jun 25, 2014 to Nov 26, 2014",Finished Airing,Zexcs,4-koma manga,3195.0,2867,26,26932.0,51505,Comedy,Ecchi,2014.0
Koha Ginjiro,0.0,"May 22, 1991 to Nov 20, 1991",Finished Airing,"animate Film, Visual 80",Unknown,17384.0,15545,1,0.0,435,Action,Drama,1991.0
Inui-san!,0.0,"Jul 3, 2014 to Dec 1, 2015",Finished Airing,YOW MISSING MAS BRO,4-koma manga,16741.0,16434,1,0.0,358,Comedy,No Sub-Genre,2014.0
Yomigaeru Sora Pilot,6.06,"Oct 27, 2006",Finished Airing,J.C.Staff,Original,8589.0,12046,0,453.0,1212,Action,No Sub-Genre,
Ane Log: Moyako Neesan no Tomaranai Monologue,6.03,"Sep 16, 2014 to Apr 15, 2015",Finished Airing,Brain's Base,Manga,8679.0,3180,51,15190.0,42378,Comedy,Ecchi,2014.0
Persona 3 the Movie 3: Falling Down,7.6,"Apr 4, 2015",Finished Airing,A-1 Pictures,Game,1382.0,2374,213,34945.0,71872,Action,Fantasy,
Naniwabushi Daisuki,0.0,"Feb 7, 1982",Finished Airing,YOW MISSING MAS BRO,Unknown,18427.0,17442,0,0.0,283,Drama,Sports,
Neko to Nezumi,0.0,"Jul 4, 1917",Finished Airing,YOW MISSING MAS BRO,Original,18469.0,15002,1,0.0,491,Comedy,No Sub-Genre,
Imokawa Mukuzo: Chuugaeri no Maki,0.0,May 1917,Finished Airing,YOW MISSING MAS BRO,Original,16725.0,14640,1,0.0,540,Comedy,No Sub-Genre,1917.0
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,6.94,"Dec 20, 2014",Finished Airing,OLM,Game,4231.0,7378,11,3627.0,6110,Award Winning,Comedy,
Xiongmao Monogatari TaoTao,5.83,"Dec 28, 1981",Finished Airing,YOW MISSING MAS BRO,Unknown,9579.0,15229,0,157.0,466,Comedy,Fantasy,
Tenkuu Senki Shurato Recaps,6.14,"Dec 7, 1989 to Jan 25, 1990",Finished Airing,Tatsunoko Production,Unknown,8139.0,14358,0,146.0,588,Action,Fantasy,1989.0
Gundam Build Fighters Try,7.2,"Oct 8, 2014 to Apr 1, 2015",Finished Airing,Sunrise,Original,3020.0,3159,114,24171.0,42895,Action,Sci-Fi,2014.0
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,7.41,"Dec 17, 2014 to May 15, 2015",Finished Airing,LIDENFILMS,Manga,2067.0,2020,61,47520.0,93248,Comedy,Romance,2014.0
Koufuku Graffiti,6.79,"Jan 9, 2015 to Mar 27, 2015",Finished Airing,Shaft,4-koma manga,4865.0,2254,150,28394.0,78265,Comedy,Gourmet,2015.0
G-On Riders Special,5.54,"Mar 21, 2003",Finished Airing,Shaft,Original,10646.0,12400,0,335.0,1076,Comedy,Sci-Fi,
Ai Shoujo Pollyanna Story Specials,5.99,Apr 2001,Finished Airing,Nippon Animation,Unknown,8867.0,14211,2,116.0,611,Drama,Slice of Life,2001.0
Alps Monogatari: Watashi no Annette Specials,5.94,Apr 2001,Finished Airing,Nippon Animation,Unknown,9093.0,14763,1,113.0,522,Drama,Slice of Life,2001.0
Date A Live Movie: Mayuri Judgment,7.33,"Aug 22, 2015",Finished Airing,Production IMS,Light novel,2395.0,1124,591,109675.0,197653,Action,Romance,
Dororonpa!,0.0,"Apr 8, 1991 to Sep 27, 1991",Finished Airing,Shin-Ei Animation,Unknown,15659.0,14092,1,0.0,630,Comedy,Slice of Life,1991.0
Son Gokuu Silk Road wo Tobu!!,0.0,"Jun 17, 1982",Finished Airing,YOW MISSING MAS BRO,Unknown,19946.0,16413,0,0.0,360,Adventure,Fantasy,
Gegege no Kitarou: Kitarou Tanjou-hen,5.77,1980,Finished Airing,Toei Animation,Manga,9816.0,14876,0,122.0,507,Supernatural,No Sub-Genre,
Flanders no Inu Specials,6.03,"Dec 24, 2000 to Dec 31, 2000",Finished Airing,Nippon Animation,Unknown,8691.0,14346,0,128.0,590,Drama,Slice of Life,2000.0
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials,0.0,2001,Finished Airing,Nippon Animation,Novel,17207.0,16106,0,0.0,384,Adventure,Drama,
Manzai Taikouki,0.0,"Nov 28, 1981",Finished Airing,YOW MISSING MAS BRO,Unknown,17895.0,17302,0,0.0,293,Comedy,No Sub-Genre,
Mushishi Zoku Shou: Odoro no Michi,8.43,"Aug 20, 2014",Finished Airing,Artland,Manga,158.0,1976,117,47459.0,96849,Adventure,Mystery,
Gokukoku no Brynhildr: Kara Sawagi,6.59,"Sep 24, 2014",Finished Airing,Arms,Manga,5872.0,3177,24,22190.0,42422,Comedy,Sci-Fi,
Ai Tenchi Muyou!,6.14,"Oct 6, 2014 to Dec 26, 2014",Finished Airing,AIC PLUS+,Original,8150.0,3541,40,10676.0,34662,Comedy,Sci-Fi,2014.0
Mushishi Zoku Shou 2nd Season,8.73,"Oct 19, 2014 to Dec 21, 2014",Finished Airing,Artland,Manga,44.0,880,1402,101319.0,254587,Adventure,Mystery,2014.0
High School DxD BorN,7.42,"Apr 4, 2015 to Jun 20, 2015",Finished Airing,TNK,Light novel,2016.0,228,3868,492795.0,772849,Action,Comedy,2015.0
"Ore, Twintail ni Narimasu.",6.43,"Oct 10, 2014 to Dec 26, 2014",Finished Airing,Production IMS,Light novel,6703.0,1390,522,64524.0,155780,Action,Comedy,2014.0
Miss Monochrome The Animation: Soccer-hen,6.2,"Jun 17, 2014",Finished Airing,"SANZIGEN, LIDENFILMS",Original,7891.0,6619,2,4304.0,8032,Comedy,Slice of Life,
Shinrabanshou: Tenchi Shinmei no Shou,5.38,"Jun 29, 2014",Finished Airing,Sunrise,Other,11139.0,13187,0,132.0,844,Action,Fantasy,
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,7.03,"Oct 26, 2011",Finished Airing,SILVER LINK.,Light novel,3869.0,4121,15,10328.0,25387,Comedy,No Sub-Genre,
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,6.51,"Nov 22, 2014",Finished Airing,Diomedéa,Manga,6292.0,3318,32,19923.0,39384,Action,Comedy,
Robot Girls Z Specials,6.28,"Jun 13, 2014 to Aug 8, 2014",Finished Airing,Toei Animation,Original,7485.0,9319,1,1129.0,3164,Comedy,No Sub-Genre,2014.0
Gakkougurashi!,7.62,"Jul 9, 2015 to Sep 24, 2015",Finished Airing,Lerche,Manga,1329.0,478,5342,211263.0,435975,Horror,Mystery,2015.0
Norasco,0.0,"Oct 11, 2013 to ?",Currently Airing,Kachidoki Studio,Original,18581.0,16596,0,0.0,347,Comedy,Slice of Life,2013.0
Koishite!! Namashi-chan,0.0,"Jan 3, 2015 to ?",Finished Airing,Kachidoki Studio,Original,17386.0,17862,0,0.0,258,Slice of Life,No Sub-Genre,2015.0
Imawa no Kuni no Alice,7.29,"Oct 15, 2014 to Feb 16, 2015",Finished Airing,"SILVER LINK., Connect",Manga,2560.0,2728,161,22469.0,56518,Action,Supernatural,2014.0
Bloody Bunny,5.65,"Jul 18, 2012 to ?",Finished Airing,Kachidoki Studio,Other,10281.0,13466,4,263.0,781,Comedy,No Sub-Genre,2012.0
Kubire 3 Shimai,0.0,"Apr 1, 2012 to 2012",Finished Airing,Kachidoki Studio,Unknown,17526.0,19149,0,0.0,183,Comedy,No Sub-Genre,2012.0
Kawaii Cook-san,4.52,"Mar 2, 2011",Finished Airing,Kachidoki Studio,Unknown,12453.0,14883,1,230.0,506,Slice of Life,No Sub-Genre,
Arigatou Kumanofu,0.0,"Nov 30, 2011 to Jan 21, 2013",Finished Airing,Kachidoki Studio,Unknown,14616.0,17368,0,0.0,288,Comedy,No Sub-Genre,2011.0
Prison Bear,4.72,"Nov 21, 2011",Finished Airing,Kachidoki Studio,Unknown,12296.0,16839,0,113.0,329,Comedy,No Sub-Genre,
Fantasista Stella,5.71,"Sep 18, 2014 to Feb 16, 2015",Finished Airing,Xebec,Manga,10044.0,11260,3,551.0,1615,Sports,No Sub-Genre,2014.0
Isshuukan Friends. Specials,6.8,"Jun 18, 2014 to Nov 19, 2014",Finished Airing,Brain's Base,4-koma manga,4844.0,4489,8,8709.0,20810,Slice of Life,No Sub-Genre,2014.0
